Symbol,baseMean,log2FoldChange,padj
Tbc1d4,1556.785,-0.838,0.0
Plvap,1225.556,-1.724,0.0
Mcee,971.027,-0.999,0.0
Chid1,5836.567,-0.643,0.0
Birc2,4426.632,-0.637,0.0
0610007L01Rik,8108.049,0.653,0.0
Tomm34,2568.91,-0.873,0.0
Ylpm1,4754.906,-0.762,0.0
Mat2b,6050.002,0.598,0.0
Ubxn2b,523.032,-1.652,0.0
Dhrs9,5005.967,-0.809,0.0
R3hcc1,2789.02,0.635,0.0
Trmt6,2152.767,1.054,0.0
Gm15417,761.49,1.114,0.0
Clec11a,4956.749,-0.703,0.0
Rcc2,10980.304,0.613,0.0
Mrrf,1402.338,-1.034,0.0
Ddx27,2676.432,0.713,0.0
Ctu2,1012.818,1.052,0.0
Tubb6,5801.675,0.703,0.0
Orc2,3027.236,0.829,0.0
Inpp5k,4608.769,0.681,0.0
Zcrb1,2519.72,0.747,0.0
Slc35b3,1135.517,0.998,0.0
Obfc2a,9467.028,-0.885,0.0
Bin3,2775.078,0.769,0.0
Siae,3235.382,-0.833,0.0
Snhg3,609.006,1.489,0.0
Mettl16,1193.935,-1.253,0.0
Tmtc4,3117.335,-0.769,0.0
Gnl3,3338.43,0.759,0.0
Kbtbd11,601.413,-1.829,0.0
Hs6st1,3836.384,-0.929,0.0
Denr,4259.341,0.594,0.0
Hddc2,1068.185,0.994,0.0
Klra2,1209.315,-0.856,0.0
Ndufb9,6788.871,0.816,0.0
Triobp,7791.289,-0.81,0.0
9330133O14Rik,791.701,1.08,0.0
Jmjd8,2986.542,-0.84,0.0
Scube3,2582.809,-0.812,0.0
Stbd1,667.194,-1.291,0.0
Olfm1,1221.284,-0.889,0.0
Scarf2,12490.493,0.641,0.0
Fzd6,643.957,1.708,0.0
Nek1,2143.158,-0.905,0.0
Sdr39u1,1916.502,1.01,0.0
Thoc3,2916.825,0.8,0.0
Agpat2,3734.683,0.882,0.0
Parp11,1686.064,-1.066,0.0
Fancm,1148.161,1.143,0.0
Ptprm,5309.304,0.685,0.0
Abl1,15499.294,0.587,0.0
Dos,1141.817,-0.919,0.0
Gbp10,176.597,-2.569,0.0
Plk1s1,1587.9,-1.068,0.0
Galnt11,3352.908,-0.687,0.0
Cxcl2,1627.228,-1.423,0.0
Emilin1,48649.343,-0.608,0.0
Grk6,2523.78,0.752,0.0
Col18a1,12441.091,-0.662,0.0
Tnfrsf12a,3512.943,1.034,0.0
Vash2,460.444,1.487,0.0
Srbd1,1280.254,-0.954,0.0
Il1rn,13817.748,-1.593,0.0
Lbh,13877.306,0.662,0.0
Lrp8,984.824,1.016,0.0
Ptpmt1,1872.761,1.002,0.0
Gnb5,3695.663,-0.664,0.0
4933424B01Rik,1761.122,-0.826,0.0
Pfkp,11530.93,-0.817,0.0
Arf2,4667.953,0.756,0.0
Gpr137b,9621.064,0.721,0.0
Lgals12,1338.771,-1.136,0.0
Atf6b,4627.235,-0.586,0.0
Creb1,2384.364,-0.83,0.0
Efhc1,496.783,-1.564,0.0
Nop14,3550.483,0.713,0.0
Rnf150,6674.644,-0.66,0.0
Srpx,2002.379,-0.931,0.0
Aldh4a1,6091.147,-0.783,0.0
Sowahc,3049.208,-0.646,0.0
U2af1,2930.176,0.765,0.0
Mrc2,27080.794,-0.649,0.0
Hspb6,6819.914,0.906,0.0
Jam2,934.509,-1.103,0.0
Snx17,7548.287,0.611,0.0
Fstl3,2055.432,-1.211,0.0
Nhp2,1559.308,1.013,0.0
Slc5a3,12654.747,-0.941,0.0
Bbs2,1439.452,-0.825,0.0
Spon2,644.416,-2.047,0.0
Gpi1,63462.471,-0.657,0.0
Hira,2965.744,0.793,0.0
Txndc11,3183.311,0.588,0.0
Sephs1,4571.841,0.617,0.0
Mkrn1,4533.201,0.638,0.0
Kcmf1,5354.093,0.588,0.0
Abcd2,2782.433,-0.695,0.0
Tmem120a,3963.896,0.692,0.0
Cpt1a,12058.94,0.706,0.0
Ankrd39,729.697,1.203,0.0
Trim16,1779.231,0.873,0.0
Hist1h2bc,4120.298,-0.879,0.0
Nup93,3322.459,0.704,0.0
Rnf125,1314.325,1.128,0.0
Arvcf,1786.995,-0.842,0.0
Nfrkb,3149.889,0.778,0.0
Psma5,9739.316,0.644,0.0
Angptl2,33749.251,0.688,0.0
Sepx1,4534.748,0.7,0.0
Nbas,4039.417,-0.729,0.0
Ndufv1,6945.733,0.689,0.0
Mpdu1,2167.864,0.653,0.0
Maob,4509.228,-0.608,0.0
Hk2,4184.14,-0.733,0.0
Plaur,1824.662,1.048,0.0
Pxdn,13027.655,-0.621,0.0
Abca8b,2422.885,-0.889,0.0
Suv39h1,1299.543,0.804,0.0
Gpsm2,2463.615,0.751,0.0
Cacna1h,477.812,-2.321,0.0
Tbce,1817.79,0.804,0.0
Ugcg,6199.695,-0.709,0.0
Klhdc1,703.364,-1.144,0.0
Stat1,21949.79,-0.849,0.0
Papss2,2923.531,-0.628,0.0
Ttf1,1986.325,-0.849,0.0
Cdca3,775.063,1.304,0.0
Thada,1608.712,-0.931,0.0
Exosc9,2887.464,0.723,0.0
Sat1,15983.91,0.764,0.0
Creld1,3398.335,-0.79,0.0
Vcam1,23420.639,-0.731,0.0
Porcn,2920.934,0.749,0.0
Dgka,1071.878,-0.975,0.0
Atf7ip,6104.783,-0.618,0.0
Mycbpap,156.26,-2.351,0.0
Obsl1,3229.446,-0.612,0.0
Gpr173,347.96,1.839,0.0
Ccz1,4682.769,0.619,0.0
Nudcd2,3933.928,0.679,0.0
Tbrg4,1871.81,0.655,0.0
Slc41a3,2184.413,0.798,0.0
Cdh19,1134.206,1.063,0.0
1810046J19Rik,1946.759,-0.806,0.0
Zfand2a,4154.44,0.759,0.0
Hfe,9258.622,0.6,0.0
Anpep,3818.879,-1.016,0.0
Scyl3,2809.282,0.73,0.0
Pcsk7,2465.242,0.661,0.0
Arhgef10,2699.84,-0.834,0.0
Trmt2b,2667.21,-0.695,0.0
Edem1,7570.846,-0.595,0.0
Tipin,2181.13,0.773,0.0
Gm16576,137.11,-2.896,0.0
Nt5dc2,2910.16,0.957,0.0
Fga,1381.565,1.457,0.0
Psmd14,8174.079,0.598,0.0
Bloc1s2,1746.121,0.785,0.0
Ddit4,7999.38,-0.64,0.0
Irf9,4297.415,-0.828,0.0
Mageh1,1678.316,1.143,0.0
Cyth3,7927.227,0.701,0.0
Ttc39c,2053.331,0.669,0.0
Pisd-ps2,943.743,-0.991,0.0
Med10,2555.298,0.69,0.0
Cercam,2924.086,-0.762,0.0
Ddx58,10471.194,-0.755,0.0
Gfm2,1536.328,-0.869,0.0
Il18rap,1276.053,1.029,0.0
Crtc2,4029.875,0.679,0.0
Map2k5,2602.951,0.68,0.0
Acss3,1145.489,-1.272,0.0
9930013L23Rik,36394.245,0.836,0.0
Fbln1,6309.189,-0.717,0.0
Plk2,11103.638,0.601,0.0
Eif2b3,1679.092,0.744,0.0
Cry1,973.875,1.132,0.0
Dpysl4,655.902,1.416,0.0
L1cam,353.732,-1.662,0.0
Agtpbp1,2654.596,-0.682,0.0
Psme4,11957.586,0.596,0.0
Dhx57,2089.068,-0.866,0.0
Mzt2,1681.287,0.866,0.0
B4galt2,3794.22,0.627,0.0
Fabp4,112800.378,0.754,0.0
Mettl7a1,9489.462,-0.593,0.0
Fktn,966.943,-1.029,0.0
Hat1,2372.526,0.622,0.0
Inha,502.407,1.469,0.0
Purg,386.208,-1.509,0.0
Fam53a,1811.685,0.676,0.0
Sgsm2,2824.889,-0.628,0.0
4833418N02Rik,369.839,1.578,0.0
Arfip2,4220.151,0.618,0.0
Cpt1c,5032.718,-0.597,0.0
Slc13a4,454.978,1.382,0.0
0610011F06Rik,1014.815,-1.062,0.0
Inhba,6205.354,-0.725,0.0
Mtx1,2408.648,0.647,0.0
Selenbp1,3492.426,-0.754,0.0
2810405K02Rik,4125.185,0.785,0.0
Ypel5,9640.232,0.624,0.0
Oas2,1908.514,-2.964,0.0
Cela1,2203.298,0.767,0.0
1110019D14Rik,259.255,-2.399,0.0
Ubfd1,3395.831,-0.6,0.0
Taf9,6630.985,0.586,0.0
Hs1bp3,3438.03,-0.64,0.0
Ghdc,2270.833,-0.69,0.0
Hist2h3c1,317.785,-2.451,0.0
Noc4l,1847.743,0.701,0.0
Gm1976,675.08,1.277,0.0
Usp11,1359.701,-0.908,0.0
Ccl17,103.283,3.338,0.0
Sema3g,301.032,-2.475,0.0
Psmb5,6791.209,0.666,0.0
Nsmce2,2401.332,0.743,0.0
4930528A17Rik,126.706,2.445,0.0
Cntnap1,2249.187,-0.807,0.0
Slc25a23,1841.273,-0.738,0.0
Irak4,1155.437,-0.904,0.0
Mxra7,2674.011,-0.81,0.0
Fam193b,2138.594,-0.876,0.0
Mina,1272.912,-0.855,0.0
Runx1t1,980.652,-1.117,0.0
Rad51l1,363.147,-1.409,0.0
Fam105b,1967.429,0.684,0.0
Tmem97,2490.34,0.629,0.0
Ddit3,2229.984,-0.802,0.0
Lamb3,1008.788,-1.329,0.0
Alkbh3,2098.69,0.627,0.0
Gstk1,1899.647,-0.875,0.0
